customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
720,Darrel,Canet,Male,67,10/23/31,Recruiting Manager,Retail,Affluent Customer,N,1;DROP TABLE users,No,6
1092,Katlin,Creddon,Female,56,8/22/35,VP Quality Control,Retail,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,5
3410,Merrili,Brittin,Female,93,9/22/40,,Property,Mass Customer,N,á,No,16
2413,Abbey,Murrow,Male,27,8/11/43,Environmental Specialist,Manufacturing,High Net Worth,N,á ,Yes,17
658,Donn,Bonnell,Male,38,1/24/44,Tax Accountant,Manufacturing,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,8
1243,Robbert,Blakey,Male,73,8/9/53,Research Assistant II,Retail,Mass Customer,N,"""'",No,8
1565,Jay,Janiszewski,Male,71,8/17/53,Sales Representative,Retail,High Net Worth,N,,Yes,11
1177,Bobbette,Pozzi,Female,47,8/31/53,Food Chemist,Health,Affluent Customer,N,1.00E+02,Yes,6
3471,Brita,Afonso,Female,95,9/5/53,Quality Engineer,IT,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,Yes,8
2813,Lillian,Crookall,Female,51,9/10/53,Chemical Engineer,Manufacturing,Mass Customer,N,!@#$%^&*(),Yes,11
2019,Neda,Perkis,Female,48,9/13/53,VP Marketing,Entertainment,High Net Worth,N,â©testâ©,No,17
1905,Corabelle,,Female,21,9/17/53,Help Desk Technician,Manufacturing,Affluent Customer,N,00ËÆ$-,No,15
560,Dorree,Sanja,Female,1,10/11/53,Social Worker,Health,Affluent Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,8
1,Laraine,Medendorp,F,93,10/12/53,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11
1915,Dusty,Tesimon,Female,40,10/12/53,Social Worker,Health,Mass Customer,N,ðµ ð ð ð,Yes,12
3103,Shaylah,Hatchell,Female,5,10/21/53,Safety Technician II,Retail,Mass Customer,N,1.00E+96,No,20
2746,Carmelia,Egle of Germany,Female,97,10/25/53,Actuary,Financial Services,High Net Worth,N,",./;'[]\-=",Yes,7
3259,Rabi,,Male,74,11/4/53,Quality Control Specialist,n/a,High Net Worth,N,,No,10
2495,Gwenore,Suero,Female,89,11/12/53,Assistant Professor,IT,Affluent Customer,N,<img src=x onerror=alert('hi') />,No,17
425,Michaeline,Bordman,Female,60,11/19/53,Sales Representative,Retail,Mass Customer,N,á,Yes,20
2959,Max,Gonthier,Female,1,11/23/53,Registered Nurse,Health,Mass Customer,N,",./;'[]\-=",Yes,11
3625,Cammie,Rubinfeld,Female,24,11/30/53,VP Marketing,Manufacturing,High Net Worth,N,-1,Yes,18
2482,Regan,Siemens,Male,95,12/10/53,Pharmacist,Health,Mass Customer,N,ç¤¾æç§å­¸é¢èªå­¸ç ç©¶æ,Yes,10
719,Pattin,Weathey,Male,2,12/30/53,Administrative Officer,Retail,Mass Customer,N,-1.00E+02,No,14
467,Welbie,Rockliffe,Male,51,1/2/54,Human Resources Assistant I,Property,Affluent Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,15
366,Constance,Ucchino,Female,7,1/8/54,Librarian,Entertainment,High Net Worth,N,â©testâ©,No,19
255,Keeley,Kruger,Female,2,1/15/54,Desktop Support Technician,IT,Mass Customer,N,âââ,No,5
3,Arlin,Dearle,Male,61,1/20/54,Recruiting Manager,Property,Mass Customer,N,1-Feb,Yes,15
3370,Brant,Follis,Male,8,1/22/54,Data Coordiator,n/a,High Net Worth,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,Yes,5
187,Pincas,Ather,Male,97,1/28/54,Structural Engineer,n/a,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,11
2283,Gaspar,Janaway,Male,44,2/8/54,Software Consultant,n/a,High Net Worth,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16
3806,Ado,Gailor,Male,1,2/8/54,,Property,Mass Customer,N,Ã¥ÃâÆÂ©ËâËÂ¬â¦Ã¦,No,7
3100,Peggy,Wrankling,Female,19,2/9/54,Recruiter,n/a,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,7
3393,Henrietta,Olexa,Female,23,2/21/54,Technical Writer,Retail,Mass Customer,N,testâ testâ«,Yes,7
3648,Tracie,Bartolomeoni,Female,82,2/21/54,Paralegal,Financial Services,Mass Customer,N,1,No,5
3455,Coop,Skey,Male,29,2/25/54,Administrative Officer,n/a,Mass Customer,N,,Yes,11
2486,Alaine,Halbord,Female,77,3/9/54,Structural Engineer,Manufacturing,Mass Customer,N,nil,Yes,5
